default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
1,1,15,3,8,1275,4,2,4,2,2,1,24,1,2,1,1,1,0,1
0,1,24,3,7,4169,1,2,4,2,4,0,28,1,1,1,1,1,0,1
0,0,10,3,7,1521,1,2,4,2,2,1,31,1,1,1,3,1,0,1
0,0,24,1,0,5743,1,1,2,2,4,3,24,1,0,2,1,1,1,1
0,1,21,3,7,3599,1,3,1,2,4,1,26,1,2,1,3,1,0,1
0,0,18,3,4,3213,3,1,1,2,3,2,25,1,2,1,1,1,0,1
0,0,18,3,1,4439,1,0,1,0,1,2,33,0,1,1,0,1,1,1
0,2,10,3,2,3949,1,1,1,1,1,0,37,1,1,1,3,2,0,1
0,3,15,1,4,1459,1,2,4,2,2,1,43,1,1,1,3,1,0,1
0,0,13,1,4,882,1,1,4,1,4,2,23,1,1,2,1,1,0,1
0,0,24,3,4,3758,3,4,1,2,4,3,23,1,2,1,2,1,0,1
0,3,6,2,1,1743,2,2,1,2,2,2,34,1,1,2,3,1,0,1
1,0,9,1,0,1136,0,0,4,2,3,3,32,1,0,2,1,2,0,1
0,3,9,3,8,1236,1,1,1,2,4,2,23,1,2,1,1,1,1,1
1,0,9,3,7,959,1,2,1,2,2,1,29,1,1,1,1,1,0,0
0,3,18,1,3,3229,4,4,2,2,4,3,38,1,1,1,0,1,1,1
1,1,12,4,4,6199,1,2,4,2,2,0,28,1,2,2,1,1,1,1
0,3,10,3,0,727,3,0,4,2,4,3,46,1,0,1,1,1,1,1
1,0,24,3,2,1246,1,1,4,2,2,2,23,2,1,1,3,1,0,1
0,3,12,1,4,2331,4,0,1,0,4,2,49,1,1,1,1,1,1,1
1,3,36,2,4,4463,1,2,4,2,2,1,26,1,1,2,0,1,1,1
0,3,12,3,4,776,1,2,4,2,2,2,28,1,1,1,1,1,0,1
1,1,30,3,7,2406,1,3,4,2,4,2,23,1,2,1,1,1,0,1
0,0,18,3,0,1239,4,2,4,2,4,3,61,1,0,1,1,1,0,1
0,2,12,3,4,3399,4,0,2,2,3,1,37,1,1,1,0,1,0,1
0,2,12,2,2,2247,1,2,2,2,2,1,36,2,1,2,1,1,1,1
0,3,6,3,7,1766,1,2,1,2,2,0,21,1,2,1,1,1,0,1
1,1,18,3,7,2473,1,4,4,2,1,1,25,1,1,1,2,1,0,1
0,3,12,3,1,1542,1,3,2,2,4,1,36,1,1,1,1,1,1,1
0,3,18,1,3,3850,1,3,3,2,1,1,27,1,1,2,1,1,0,1
0,1,18,3,7,3650,1,1,1,2,4,1,22,1,2,1,1,1,0,1
1,1,36,3,7,3446,1,0,4,2,2,1,42,1,1,1,1,2,0,1
0,0,18,3,7,3001,1,3,2,2,4,2,40,1,2,1,1,1,0,1
0,3,36,3,2,3079,4,2,4,2,4,2,36,1,1,1,1,1,0,1
0,3,18,1,4,6070,1,0,3,2,4,1,33,1,1,2,1,1,1,1
0,3,10,1,7,2146,1,1,1,2,3,2,23,1,2,2,1,1,0,1
0,3,60,1,2,13756,4,0,2,2,4,3,63,0,0,1,0,1,1,1
1,0,60,0,6,14782,2,0,3,2,4,3,60,0,0,2,0,1,1,1
1,1,48,0,1,7685,1,3,2,1,4,1,37,1,2,1,1,1,0,1
0,3,18,2,4,2320,1,4,2,2,3,2,34,1,1,2,1,1,0,1
0,3,7,2,4,846,4,0,3,2,4,3,36,1,0,1,1,1,0,1
1,0,36,3,2,14318,1,0,4,2,2,3,57,1,0,1,0,1,1,1
0,3,6,1,2,362,2,2,4,2,4,1,52,1,1,2,3,1,0,1
0,1,20,3,7,2212,4,3,4,2,4,1,39,1,1,1,1,1,1,1
1,0,18,3,3,12976,1,4,3,2,4,3,38,1,0,1,0,1,1,1
0,3,22,3,2,1283,4,3,4,2,4,0,25,1,2,1,1,1,0,1
0,2,12,3,2,1330,1,1,4,2,1,2,26,1,1,1,1,1,0,1
0,3,30,2,1,4272,2,2,2,2,2,0,26,1,1,2,3,1,0,1
0,3,18,1,4,2238,1,2,2,2,1,1,25,1,1,2,1,1,0,1
0,3,18,3,4,1126,4,1,4,2,2,2,21,1,2,1,1,1,1,1
0,0,18,1,7,7374,1,4,4,2,4,0,40,2,1,2,0,1,1,1
0,0,15,1,1,2326,3,2,2,2,4,1,27,0,1,1,1,1,0,1
0,3,9,3,1,1449,1,3,3,2,2,1,27,1,1,2,1,1,0,1
0,3,18,3,2,1820,1,2,2,2,2,0,30,1,1,1,0,1,1,1
0,0,12,3,7,983,0,1,1,2,4,2,19,1,2,1,3,1,0,1
0,1,36,3,2,3249,1,3,2,2,4,3,39,0,0,1,0,2,1,1
0,1,6,1,4,1957,1,3,1,2,4,1,31,1,1,1,1,1,0,1
0,3,9,1,7,2406,1,4,2,2,3,1,31,1,1,1,0,1,0,1
0,0,39,2,0,11760,2,3,2,2,3,3,32,1,2,1,1,1,1,1
0,1,12,3,7,2578,1,4,3,2,4,3,55,1,0,1,0,1,0,1
0,1,36,1,7,2348,1,2,3,2,2,0,46,1,1,2,1,1,1,1
1,0,12,3,2,1223,1,0,1,2,1,2,46,1,2,2,1,1,0,1
0,3,24,1,4,1516,0,2,4,2,1,2,43,1,1,2,3,1,0,1
0,3,18,3,4,1473,1,1,3,2,4,2,39,1,1,1,1,1,1,1
0,0,18,1,1,1887,4,2,4,2,4,2,28,0,1,2,1,1,0,1
1,3,24,2,1,8648,1,1,2,2,2,1,27,0,1,2,1,1,1,1
0,3,14,2,2,802,1,2,4,2,2,1,27,1,1,2,3,1,0,1
0,0,18,2,2,2899,4,0,4,2,4,1,43,1,1,1,1,2,0,1
1,0,24,3,4,2039,1,1,1,2,1,0,22,1,1,1,1,1,1,1
0,3,24,1,3,2197,4,3,4,2,4,1,43,1,1,2,1,2,1,1
0,1,15,3,4,1053,1,1,4,2,2,2,27,1,1,1,1,1,0,0
0,3,24,3,4,3235,3,0,3,2,2,1,26,1,1,1,0,1,1,1
1,2,12,1,2,939,3,3,4,2,2,2,28,1,1,3,1,1,1,1
0,0,24,3,4,1967,1,0,4,2,4,1,20,1,1,1,1,1,1,1
0,3,33,1,3,7253,1,3,3,2,2,1,35,1,1,2,0,1,1,1
1,3,12,1,1,2292,1,4,4,2,2,1,42,2,1,2,0,1,1,1
0,3,10,3,2,1597,3,2,3,2,2,3,40,1,2,1,3,2,0,0
1,1,24,3,2,1381,4,2,4,2,2,0,35,1,1,1,1,1,0,1
0,3,36,1,3,5842,1,0,2,2,2,0,35,1,1,2,1,2,1,1
1,1,12,3,2,2579,1,1,4,2,1,2,33,1,1,1,3,2,0,1
0,1,18,2,0,8471,4,2,1,2,2,1,23,1,2,2,1,1,1,1
0,3,21,3,2,2782,3,3,1,2,2,1,31,0,1,1,0,1,0,1
1,0,18,3,2,1042,4,2,4,2,2,0,33,1,1,1,1,1,0,1
0,3,15,3,2,3186,0,3,2,2,3,1,20,1,2,1,1,1,0,1
0,0,12,3,3,2028,4,2,4,2,2,1,30,1,1,1,1,1,0,1
0,0,12,1,2,958,1,3,2,2,3,2,47,1,1,2,3,2,0,1
0,3,21,2,7,1591,2,3,4,2,3,2,34,1,1,2,0,1,0,1
1,0,12,3,7,2762,4,0,1,2,2,0,25,0,1,1,1,1,1,1
0,0,18,3,3,2779,1,2,1,2,3,1,21,1,2,1,1,1,1,1
0,3,28,1,4,2743,1,0,4,2,2,1,29,1,1,2,1,1,0,1
0,3,18,1,4,1149,0,2,4,2,3,2,46,1,1,2,1,1,0,1
0,3,9,3,7,1313,1,0,1,2,4,1,20,1,1,1,1,1,0,1
1,1,18,1,5,1190,1,4,2,2,4,3,55,1,0,3,2,2,0,1
0,3,5,3,1,3448,1,3,1,2,4,2,74,1,1,1,3,1,0,1
1,0,24,3,6,11328,1,2,2,0,3,1,29,0,1,2,0,1,1,1
0,1,6,1,7,1872,1,4,4,2,4,3,36,1,0,3,0,1,1,1
0,3,24,1,5,2058,1,2,4,2,2,2,33,1,1,2,1,1,1,1
0,1,9,3,7,2136,1,2,3,2,2,2,25,1,1,1,1,1,0,1
1,0,12,3,4,1484,4,2,2,2,1,2,25,1,1,1,1,1,1,1
0,3,6,3,5,660,3,3,2,2,4,2,23,1,2,1,3,1,0,1
0,3,24,1,2,1287,0,0,4,2,4,2,37,1,1,2,1,1,1,1
0,1,42,1,5,3394,1,4,4,0,4,1,65,1,1,2,2,1,0,1
1,2,12,0,1,609,1,1,4,2,1,2,26,1,1,1,2,1,0,1
0,3,12,3,2,1884,1,0,4,2,4,1,39,1,1,1,0,1,1,1
0,1,12,3,7,1620,1,2,2,0,3,0,30,1,1,1,1,1,0,1
0,0,20,2,6,2629,1,2,2,2,3,1,29,0,1,2,1,1,1,1
1,3,12,3,0,719,1,0,4,2,4,1,41,0,1,1,3,2,0,1
1,0,48,1,7,5096,1,2,2,2,3,1,30,1,1,1,0,1,1,1
0,3,9,1,0,1244,4,0,4,2,4,0,41,1,2,2,3,1,0,1
1,1,36,3,2,1842,1,1,4,2,4,1,34,1,1,1,1,1,1,1
0,0,7,3,4,2576,1,2,2,1,2,2,35,1,1,1,1,1,0,1
0,2,12,3,7,1424,4,0,3,2,4,2,55,1,1,1,0,1,1,1
1,0,15,2,5,1512,0,2,3,2,3,0,61,2,1,2,1,1,0,1
0,3,36,1,3,11054,4,2,4,2,2,1,30,1,1,1,0,1,1,1
0,3,6,3,4,518,1,2,3,2,1,2,29,1,1,1,1,1,0,1
0,3,12,4,7,2759,1,0,2,2,4,0,34,1,1,2,1,1,0,1
0,3,24,3,3,2670,1,0,4,2,4,1,35,1,1,1,0,1,1,1
1,1,24,3,2,4817,1,3,2,0,3,0,31,1,1,1,1,1,1,1
0,3,24,3,3,2679,1,1,4,2,1,3,29,1,1,1,0,1,1,1
0,1,11,1,2,3905,1,2,2,2,2,2,36,1,2,2,1,2,0,1
1,1,12,3,3,3386,1,0,3,2,4,3,35,1,0,1,1,1,1,1
0,1,6,3,8,343,1,1,4,2,1,2,27,1,1,1,1,1,0,1
0,3,18,3,4,4594,1,1,3,2,2,1,32,1,1,1,1,1,1,1
0,1,36,3,7,3620,1,2,1,1,2,0,37,1,1,1,1,2,0,1
0,1,15,3,2,1721,1,1,2,2,3,2,36,1,1,1,1,1,0,1
0,0,12,3,7,3017,1,1,3,2,1,2,34,1,2,1,0,1,0,1
0,0,12,3,9,754,4,0,4,2,4,0,38,1,1,2,1,1,0,1
0,3,18,3,1,1950,1,3,4,2,1,1,34,2,1,2,1,1,1,1
0,1,24,3,3,2924,1,2,3,1,4,3,63,0,1,1,1,2,1,1
1,1,24,2,4,1659,1,1,4,2,2,1,29,1,2,1,3,1,1,1
0,3,48,2,4,7238,4,0,3,2,3,1,32,0,1,2,1,2,0,1
0,3,33,2,1,2764,1,2,2,2,2,1,26,1,1,2,1,1,1,1
0,3,24,2,3,4679,1,3,3,2,3,1,35,1,1,2,3,1,1,1
1,0,24,3,4,3092,2,1,3,2,2,1,22,1,2,1,1,1,1,1
1,1,6,3,0,448,1,1,4,2,4,0,23,1,1,1,1,1,0,1
1,1,9,3,2,654,1,2,4,2,3,1,28,1,1,1,3,1,0,1
0,3,6,3,9,1238,4,4,4,2,4,0,36,1,1,1,0,2,1,1
1,0,18,1,4,1245,1,2,4,2,2,1,33,1,1,1,1,1,0,1
1,1,18,4,7,3114,1,1,1,2,4,0,26,1,2,1,1,1,0,1
0,3,39,3,3,2569,3,2,4,2,4,1,24,1,1,1,1,1,0,1
0,2,24,3,4,5152,1,3,4,2,2,1,25,0,1,1,1,1,0,1
0,0,12,3,1,1037,2,3,3,2,4,2,39,1,1,1,3,1,0,1
0,1,15,1,7,1478,1,0,4,2,4,1,44,1,1,2,1,2,1,1
0,0,12,1,4,3573,1,2,1,2,1,2,23,1,1,1,3,1,0,1
0,0,24,3,2,1201,1,1,4,2,1,0,26,1,1,1,1,1,0,1
0,1,30,3,7,3622,0,0,4,2,4,0,57,1,2,2,1,1,1,1
0,3,15,2,7,960,0,3,3,2,2,0,30,1,1,2,1,1,0,1
0,3,12,1,2,1163,3,2,4,2,4,2,44,1,1,1,1,1,1,1
1,0,6,2,2,1209,1,4,4,2,4,0,47,1,1,1,0,1,1,1
0,3,12,3,4,3077,1,2,2,2,4,1,52,1,1,1,1,1,1,1
0,3,24,3,2,3757,1,0,4,0,4,3,62,1,0,1,1,1,1,1
0,3,10,3,2,1418,2,2,3,2,2,2,35,1,2,1,3,1,0,0
0,3,6,3,2,3518,1,2,2,1,3,0,26,1,2,1,1,1,0,1
0,3,12,1,4,1934,1,0,2,2,2,3,26,1,1,2,1,1,0,1
1,0,27,4,1,8318,1,0,2,2,4,3,42,1,0,2,0,1,1,1
0,3,6,1,4,1237,2,2,1,2,1,0,27,1,1,2,1,1,0,1
0,0,6,3,4,368,4,0,4,2,4,0,38,1,1,1,1,1,0,1
0,1,12,1,2,2122,1,2,3,2,2,2,39,1,2,2,3,2,0,0
1,1,24,3,7,2996,4,2,2,2,4,1,20,1,1,1,1,1,0,1
1,0,36,3,7,9034,2,1,4,0,1,3,29,1,2,1,0,1,1,1
0,3,24,1,7,1585,1,3,4,2,3,0,40,1,1,2,1,1,0,1
0,0,18,3,4,1301,1,0,4,1,2,2,32,1,1,1,3,1,0,1
0,2,6,1,2,1323,2,0,2,2,4,1,28,1,1,2,1,2,1,1
1,1,24,3,2,3123,1,1,4,2,1,0,27,1,1,1,1,1,0,1
0,1,36,3,3,5493,1,0,2,2,4,3,42,1,0,1,1,2,0,1
0,2,9,3,4,1126,2,0,2,2,4,2,49,1,1,1,1,1,0,1
1,0,24,1,4,1216,2,1,4,2,4,3,38,0,1,2,1,2,0,1
1,1,24,3,2,1207,1,1,4,2,4,0,24,1,2,1,1,1,0,1
1,3,10,3,2,1309,4,2,4,1,4,0,27,1,1,1,3,1,0,1
0,2,15,1,3,2360,3,2,2,2,2,1,36,1,1,1,1,1,1,1
1,0,15,0,2,6850,2,4,1,2,2,0,34,1,1,1,0,2,1,1
0,3,24,3,4,1413,1,2,4,2,2,0,28,1,1,1,1,1,0,1
0,3,39,3,3,8588,2,0,4,2,2,1,45,1,1,1,0,1,1,1
1,1,12,3,2,759,1,3,4,2,2,2,26,1,1,1,1,1,0,1
0,3,36,3,3,4686,1,2,2,2,2,3,32,1,0,1,0,1,1,1
0,2,15,3,1,2687,1,3,2,2,4,0,26,1,2,1,1,1,1,1
0,0,12,2,4,585,1,2,4,0,4,2,20,1,2,2,1,1,0,1
0,3,24,3,2,2255,4,1,4,2,1,0,54,1,1,1,1,1,0,1
0,1,6,1,2,609,1,3,4,2,3,0,37,1,1,2,1,1,0,0
0,1,6,1,2,1361,1,1,2,2,4,2,40,1,1,1,3,2,0,0
1,3,36,1,7,7127,1,1,2,2,4,0,23,1,2,2,1,1,1,1
0,1,6,3,2,1203,2,0,3,2,2,0,43,1,1,1,1,1,1,1
0,3,6,1,4,700,4,0,4,2,4,3,36,1,0,2,1,1,0,1
0,3,24,1,5,5507,1,0,3,2,4,3,44,1,0,2,1,1,0,1
1,1,18,3,4,3190,1,2,2,2,2,2,24,1,1,1,1,1,0,1
1,1,48,4,7,7119,1,2,3,2,4,3,53,1,0,2,1,2,0,1
0,3,24,3,3,3488,2,3,3,2,4,1,23,1,1,1,1,1,0,1
0,0,18,3,4,1113,1,2,4,1,4,2,26,1,1,1,3,2,0,1
0,0,26,3,3,7966,1,1,2,2,3,1,30,1,1,2,1,1,0,1
0,3,15,1,0,1532,2,2,4,2,3,1,31,1,1,1,1,1,0,1
0,3,4,1,4,1503,1,3,2,2,1,2,42,1,1,2,3,2,0,1
1,1,36,3,4,2302,1,2,4,2,4,1,31,1,2,1,1,1,0,1
0,1,6,3,2,662,1,1,3,2,4,2,41,1,1,1,3,2,1,1
0,0,36,3,0,2273,1,3,3,2,1,1,32,1,1,2,1,2,0,1
1,0,15,3,2,2631,2,2,2,2,4,1,28,1,2,2,1,1,1,1
0,3,12,2,3,1503,1,2,4,2,4,2,41,1,2,1,1,1,0,1
0,3,24,3,4,1311,2,3,4,2,3,0,26,1,1,1,1,1,1,1
0,3,24,3,4,3105,4,1,4,2,2,1,25,1,1,2,1,1,0,1
1,2,21,1,0,2319,1,1,2,2,1,1,33,1,2,1,1,1,0,1
0,1,6,3,2,1374,4,4,4,2,3,0,75,1,1,1,0,1,1,1
0,0,18,1,7,3612,1,0,3,2,4,0,37,1,1,1,1,1,1,1
1,1,48,3,2,7763,1,0,4,2,4,3,42,0,0,1,0,1,0,1
0,2,18,3,7,3049,1,1,1,2,1,0,45,2,1,1,3,1,0,1
1,0,12,3,4,1534,1,1,1,2,1,2,23,1,2,1,1,1,0,1
0,3,24,2,2,2032,1,0,4,2,4,3,60,1,0,2,1,1,1,1
1,1,30,3,7,6350,4,0,4,2,4,0,31,1,1,1,1,1,0,1
1,2,18,3,7,2864,1,2,2,2,1,2,34,1,1,1,3,2,0,1
0,3,12,1,2,1255,1,0,4,2,4,2,61,1,1,2,3,1,0,1
1,1,24,2,2,1333,1,4,4,2,2,2,43,1,0,2,1,2,0,1
0,3,24,1,2,2022,1,2,4,2,4,1,37,1,1,1,1,1,1,1
0,3,24,3,4,1552,1,3,3,2,1,1,32,0,1,1,1,2,0,1
1,1,12,0,4,626,1,2,4,2,4,2,24,0,1,1,3,1,0,1
0,3,48,1,3,8858,4,3,2,2,1,3,35,1,0,2,1,1,1,1
0,3,12,1,5,996,4,3,4,2,4,2,23,1,1,2,1,1,0,1
0,3,6,0,4,1750,3,0,2,2,4,0,45,0,1,1,3,2,0,1
1,1,48,3,4,6999,1,3,1,1,1,2,34,1,1,2,1,1,1,1
0,0,12,1,2,1995,2,1,4,2,1,1,27,1,1,1,1,1,0,1
0,0,9,3,0,1199,1,3,4,2,4,0,67,1,1,2,0,1,1,1
1,0,12,3,4,1331,1,1,2,2,1,1,22,2,1,1,1,1,0,1
1,0,18,4,2,2278,2,1,3,2,3,1,28,1,1,2,1,1,0,1
1,3,21,4,2,5003,4,2,1,2,4,0,29,0,1,2,1,1,1,1
1,1,24,0,7,3552,1,3,3,2,4,1,27,0,1,1,1,1,0,1
1,0,18,1,7,1928,1,1,2,2,2,2,31,1,1,2,3,1,0,1
0,1,24,3,3,2964,4,0,4,2,4,3,49,0,0,1,1,2,1,1
1,1,24,0,4,1546,1,3,4,1,4,1,24,0,2,1,3,1,0,1
0,2,6,2,4,683,1,1,2,2,1,0,29,0,1,1,1,1,0,1
1,0,36,3,2,12389,4,2,1,2,4,3,37,1,0,1,1,1,1,1
0,0,24,2,1,4712,4,2,4,2,2,0,37,0,1,2,0,1,1,1
0,0,24,2,4,1553,2,3,3,2,2,0,23,1,2,2,1,1,1,1
1,1,12,3,2,1372,1,3,2,2,3,1,36,1,1,1,1,1,0,1
0,3,24,1,4,2578,0,0,2,2,2,1,34,1,1,1,1,1,0,1
0,0,48,3,4,3979,4,3,4,2,1,1,41,1,1,2,1,2,1,1
1,1,48,3,4,6758,1,2,3,2,2,1,31,1,1,1,1,1,1,1
1,1,24,3,7,3234,1,1,4,2,4,2,23,1,2,1,3,1,1,1
0,3,30,1,4,5954,1,3,3,0,2,1,38,1,1,1,1,1,0,1
0,3,24,3,3,5433,4,4,2,2,4,0,26,1,2,1,0,1,1,1
0,1,15,3,1,806,1,2,4,2,4,0,22,1,1,1,3,1,0,1
0,0,9,3,4,1082,1,0,4,2,4,1,27,1,1,2,3,1,0,1
0,3,15,1,7,2788,1,3,2,0,3,1,24,0,1,2,1,1,0,1
0,0,12,3,4,2930,1,3,2,2,1,2,27,1,1,1,1,1,0,1
0,3,24,1,0,1927,4,2,3,2,2,1,33,1,1,2,1,1,1,1
1,0,36,1,2,2820,1,1,4,2,4,1,27,1,1,2,1,1,0,1
0,3,24,3,9,937,1,1,4,2,3,1,27,1,1,2,3,1,0,1
1,0,18,1,2,1056,1,0,3,1,3,2,30,0,1,2,1,1,0,1
0,0,12,1,2,3124,1,1,1,2,3,2,49,0,1,2,3,2,0,1
0,3,9,3,7,1388,1,2,4,2,2,2,26,1,2,1,1,1,0,1
1,0,36,3,5,2384,1,1,4,2,1,3,33,1,2,1,3,1,0,1
0,3,12,3,2,2133,4,0,4,2,4,3,52,1,0,1,0,1,1,1
1,1,18,3,7,2039,1,2,1,2,4,2,20,0,2,1,1,1,0,1
0,1,9,1,2,2799,1,2,2,2,2,2,36,1,2,2,1,2,0,1
0,1,12,3,7,1289,1,2,4,1,1,0,21,1,1,1,3,1,0,1
1,1,18,3,8,1217,1,2,4,2,3,2,47,1,1,1,3,1,1,1
1,1,12,1,7,2246,1,0,3,2,3,0,60,1,1,2,1,1,0,1
0,1,12,1,4,385,1,3,4,2,3,2,58,1,1,4,3,1,1,1
0,0,24,2,2,1965,4,2,4,2,4,1,42,1,2,2,1,1,1,1
0,3,21,3,1,1572,0,0,4,2,4,2,36,0,1,1,3,1,0,1
1,0,24,3,2,2718,1,2,3,2,4,0,20,1,2,1,3,1,1,1
1,1,24,0,6,1358,4,0,4,2,3,1,40,2,1,1,0,1,1,1
1,0,6,0,2,931,2,1,1,2,1,0,32,2,1,1,3,1,0,1
1,1,24,3,2,1442,1,3,4,2,4,1,23,1,2,2,1,1,0,1
1,0,24,4,1,4241,1,2,1,2,4,2,36,1,1,3,3,1,1,1
1,3,18,1,2,2775,1,3,2,2,2,0,31,0,1,2,1,1,0,1
0,3,24,2,1,3863,1,2,1,2,2,3,32,1,0,1,1,1,0,1
0,0,7,3,4,2329,1,1,1,1,1,2,45,1,1,1,1,1,0,1
1,0,9,3,7,918,1,2,4,2,1,0,30,1,1,1,1,1,0,1
1,0,24,0,0,1837,1,3,4,2,4,3,34,0,0,1,3,1,0,1
1,3,36,3,7,3349,1,2,4,2,2,1,28,1,1,1,0,1,1,1
0,2,10,3,7,1275,1,1,4,2,2,0,23,1,1,1,1,1,0,1
0,1,24,0,7,2828,3,2,4,2,4,2,22,2,1,1,1,1,1,1
0,3,24,1,1,4526,1,2,3,2,2,2,74,1,1,1,0,1,1,1
1,0,36,3,4,2671,2,2,4,0,4,3,50,1,0,1,1,1,0,1
0,3,18,3,4,2051,1,1,4,2,1,2,33,1,1,1,1,1,0,1
0,3,15,3,3,1300,4,0,4,2,4,3,45,0,0,1,1,2,0,1
1,1,12,3,8,741,2,4,4,2,3,0,22,1,1,1,1,1,0,1
1,2,10,3,2,1240,2,0,1,2,4,3,48,1,0,1,3,2,0,1
0,1,21,3,4,3357,0,1,4,2,2,1,29,0,1,1,1,1,0,1
0,1,24,0,3,3632,1,2,1,1,4,1,22,0,2,1,1,1,0,0
1,3,18,2,7,1808,1,3,4,2,1,2,22,1,1,1,1,1,0,1
0,0,48,4,1,12204,4,2,2,2,2,1,48,0,1,1,0,1,1,1
0,0,60,2,4,9157,4,2,2,2,2,3,27,1,0,1,0,1,0,1
0,1,6,1,2,3676,1,2,1,2,3,2,37,1,2,3,1,2,0,1
1,0,30,3,7,3441,2,2,2,0,4,1,21,1,2,1,1,1,0,1
0,3,12,3,2,640,1,2,4,2,2,2,49,1,1,1,3,1,0,1
0,0,21,1,1,3652,1,3,2,2,3,0,27,1,1,2,1,1,0,1
1,3,18,1,2,1530,1,2,3,2,2,0,32,0,1,2,1,1,0,1
1,3,48,3,1,3914,4,2,4,2,2,2,38,0,1,1,1,1,0,1
0,1,12,3,7,1858,1,1,4,2,1,1,22,1,2,1,1,1,0,1
1,1,18,3,4,2600,1,2,4,2,4,3,65,1,0,2,1,1,0,1
0,3,15,3,4,1979,4,0,4,2,2,1,35,1,1,1,1,1,0,1
0,2,6,3,7,2116,1,2,2,2,2,2,41,1,1,1,1,1,1,1
1,0,9,0,2,1437,2,3,2,2,3,3,29,1,1,1,1,1,0,1
0,3,42,1,7,4042,3,2,4,2,4,2,36,1,1,2,1,1,1,1
0,3,9,3,0,3832,4,0,1,2,4,2,64,1,1,1,3,1,0,1
0,1,24,3,4,3660,1,2,2,2,4,1,28,1,1,1,1,1,0,1
1,1,18,0,7,1553,1,2,4,2,3,1,44,0,1,1,1,1,0,1
0,0,15,3,4,1444,4,1,4,2,1,0,23,1,1,1,1,1,0,1
1,3,9,3,7,1980,1,1,2,0,2,1,19,1,2,2,1,1,0,1
1,0,24,3,2,1355,1,1,3,2,4,1,25,1,1,1,3,1,1,1
0,3,12,3,0,1393,1,0,4,2,4,0,47,0,1,3,1,2,1,1
0,3,24,3,4,1376,3,3,4,2,1,1,28,1,1,1,1,1,0,1
0,3,60,2,4,15653,1,3,2,2,4,1,21,1,1,2,1,1,1,1
0,3,12,3,4,1493,1,1,4,2,3,1,34,1,1,1,1,2,0,1
1,1,42,2,4,4370,1,3,3,2,2,0,26,0,1,2,1,2,1,1
1,1,18,3,0,750,1,4,4,2,1,2,27,1,1,1,2,1,0,1
0,0,15,3,5,1308,1,0,4,2,4,1,38,1,1,2,3,1,0,1
1,3,15,3,0,4623,2,2,3,2,2,0,40,1,1,1,0,1,1,1
0,3,24,1,4,1851,1,3,4,1,2,1,33,1,1,2,1,1,1,1
0,1,18,1,4,1880,1,3,4,2,1,0,32,1,1,2,0,1,1,1
1,3,36,2,1,7980,4,1,4,2,4,1,27,1,2,2,1,1,1,1
0,1,30,4,7,4583,1,2,2,1,2,2,32,1,1,2,1,1,0,1
1,3,12,3,2,1386,3,2,2,2,2,0,26,1,1,1,1,1,0,1
1,2,24,3,2,947,1,3,4,2,3,3,38,0,0,1,1,2,0,1
1,1,12,3,0,684,1,2,4,2,4,1,40,1,2,1,3,2,0,1
0,1,48,3,0,7476,1,3,4,2,1,3,50,1,0,1,0,1,1,1
1,0,12,3,7,1922,1,2,4,2,2,0,37,1,1,1,3,1,0,1
1,1,24,3,2,2303,1,0,4,0,1,2,45,1,1,1,1,1,0,1
1,0,36,2,2,8086,2,0,2,2,4,1,42,1,1,4,0,1,1,1
0,3,24,1,3,2346,1,3,4,2,3,1,35,1,1,2,1,1,1,1
0,1,14,3,2,3973,1,4,1,2,4,3,22,1,0,1,1,1,0,1
1,0,12,3,2,888,1,0,4,2,4,1,41,0,1,1,3,2,0,1
0,3,48,3,4,10222,4,3,4,2,3,1,37,2,1,1,1,1,1,1
0,0,30,4,1,4221,1,2,2,2,1,1,28,1,1,2,1,1,0,1
0,0,18,1,7,6361,1,0,2,2,1,3,41,1,1,1,1,1,1,1
0,2,12,3,4,1297,1,2,3,2,4,2,23,1,2,1,1,1,0,1
1,1,12,3,2,900,4,2,4,2,2,1,23,1,1,1,1,1,0,1
0,3,21,3,7,2241,1,0,4,2,2,2,50,1,1,2,1,1,0,1
0,0,6,2,7,1050,1,4,4,2,1,0,35,2,1,2,0,1,1,1
0,2,6,1,0,1047,1,2,2,2,4,0,50,1,1,1,3,1,0,1
0,3,24,1,6,6314,1,4,4,0,2,3,27,0,1,2,0,1,1,1
0,0,30,0,7,3496,0,2,4,2,2,1,34,2,1,1,1,2,1,1
0,3,48,0,1,3609,1,2,1,2,1,2,27,2,1,1,1,1,0,1
1,1,12,1,2,4843,1,0,3,0,4,0,43,1,2,2,1,1,1,1
0,2,30,1,4,3017,1,0,4,2,4,0,47,1,1,1,1,1,0,1
0,3,24,1,1,4139,2,2,3,2,3,0,27,1,1,2,3,1,1,1
0,3,36,3,1,5742,2,3,2,2,2,1,31,1,1,2,1,1,1,1
0,3,60,3,2,10366,1,0,2,2,4,0,42,1,1,1,0,1,1,1
0,3,6,1,2,2080,3,2,1,2,2,1,24,1,1,1,1,1,0,1
1,3,21,2,1,2580,3,1,4,2,2,2,41,0,1,1,3,2,0,1
0,3,30,1,4,4530,1,3,4,2,4,1,26,1,2,1,0,1,1,1
